Customer ID, Customer Name ,Email,Signup Date,Annual Spend,Region
1,Sara Malik,sara.m@example.com,2025-01-14,1200.50,North
2, Ahmed Raza,ahmed.raza@example.com,2025-02-03,980.00,South
3,Fatima Noor ,fatima.n@example.com,2025-02-20,,East
4,Bilal Khan,bilal.khan@example.com,2025-03-11,1450.75,North
5,Sara Malik,sara.m@example.com,2025-01-14,1200.50,North
6,Zainab Ali,zainab.ali@example.com,2025-04-02,890.20,West
7,Usman Tariq,usman.t@example.com,2025-04-18,,South
8,Hina Shah,hina.shah@example.com,2025-05-01,25000.00,East
9,Omar Farooq,omar.f@example.com,2025-05-22,1100.00,North
10,Ayesha Siddiqui,ayesha.s@example.com,2025-06-09,970.40,West
9,Omar Farooq,omar.f@example.com,2025-05-22,1100.00,North
